iso3c,livestock_consumption_kg
ABW,0
AFG,32047.90863453659
AGO,39180.547473029976
AIA,0
ALA,7.386289419570841
ALB,8750.714181755504
AND,0
ARE,10668.608956763659
ARG,838182.9098023723
ARM,8589.60018863204
ASM,0
ATA,0
ATF,0
ATG,182.9314441656165
AUS,697532.0755502523
AUT,229722.1259314046
AZE,20890.24419607635
BDI,3977.0593627812923
BEL,545423.5031751827
BEN,11335.523080913248
BFA,46753.1207746471
BGD,120041.38295006882
BGR,47461.84713942591
BHR,402.9207417256716
BHS,2191.6613236753537
BIH,22671.051996378497
BLM,0
BLR,218912.20589086512
BLZ,3923.267927471333
BMU,0
BOL,153029.82841950032
BRA,5116719.797601193
BRB,4898.518491282397
BRN,1928.0816046248024
BTN,1602.2689128888082
BWA,19523.090872280416
CAF,15427.307283066406
CAN,1044830.3385066029
CHE,115190.73450188107
CHL,307403.08887379663
CHN,14901127.043886844
CIV,21361.058308566113
CMR,66073.42525771748
COD,14542.59045126365
COG,3137.533942293615
COK,0.23937666889547957
COL,514584.8805930493
COM,428.17641336828274
CPV,652.4785023468795
CRI,41725.29822990502
CUB,33311.94820920097
CUW,27.693001556688305
CYM,0
CYP,27794.8522178091
CZE,146680.73843946363
DEU,1887578.5762094979
DJI,157.95376285059163
DMA,157.0299356316566
DNK,666239.1335691673
DOM,111011.83491862711
DZA,92498.70578383747
ECU,144328.8256649378
EGY,179376.88823974653
ERI,19992.92107705283
ESH,0
ESP,1541016.3876709007
EST,23900.422284193774
ETH,278015.3181028714
FIN,94766.34675909055
FJI,19767.554074682615
FLK,7.048720630029856
FRA,1245256.9912711603
FRO,0
FSM,362.9166806923611
GAB,3146.734316907899
GBR,668711.3334773321
GEO,8934.609250133732
GGY,0
GHA,22407.09872481421
GIB,0
GIN,27151.07543423814
GMB,2021.0105504362461
GNB,3402.5980220175
GNQ,198.77934656848848
GRC,64868.03093785798
GRD,404.7056957613577
GRL,0
GTM,100231.73845494544
GUM,161.1984935172628
GUY,5854.2773797387945
HKG,91075.7953227594
HMD,0
HND,28832.30941967671
HRV,44437.47790345913
HTI,16112.584248282561
HUN,211026.23020273694
IDN,566733.1627953921
IMN,0
IND,1682451.6268405884
IOT,0
IRL,127636.11089016675
IRN,589311.444679942
IRQ,23703.280425183188
ISL,3573.4057419531564
ISR,99494.18619086922
ITA,906848.8115590251
JAM,26394.576768129224
JEY,0
JOR,57681.49908393957
JPN,858877.7890779704
KAZ,128072.9276339405
KEN,251646.3279961686
KGZ,8626.681728364712
KHM,46085.2528540904
KIR,141.41006794596177
KNA,63.34284842025083
KOR,578930.1694442974
KWT,9087.30338673982
LAO,19075.82568007184
LBN,35891.179816940385
LBR,2055.9556889333853
LBY,46392.064841944375
LCA,902.3399977477314
LIE,0
LKA,25708.25642374682
LSO,24981.820659294903
LTU,58405.86494192097
LUX,4285.779317522346
LVA,11892.340049578279
MAC,2.683556699241463
MAF,42.28123970098073
MAR,210228.495008059
MCO,8.44988667521012
MDA,18938.44567107655
MDG,65634.55003144343
MDV,0
MEX,1399121.672742027
MHL,0
MKD,6876.178182779104
MLI,61425.375884243505
MLT,4508.07865470317
MMR,215837.79506556006
MNE,1241.2702826785742
MNG,11641.074493474996
MNP,0
MOZ,46894.05000131023
MRT,74426.22402079178
MSR,24.676490276044024
MUS,180.0565768427912
MWI,42866.478530906905
MYS,388005.0667919642
NAM,15939.39388296483
NCL,12.502292245026654
NER,251618.46978620152
NFK,0
NGA,242359.7978858593
NIC,48612.23763909309
NIU,2.99499241475553
NLD,968708.5349996598
NOR,61204.61732269969
NPL,44665.039867884705
NRU,0
NZL,137361.09227943223
OMN,1881.1656038673052
PAK,511815.99397144
PAN,36596.787366135875
PCN,0
PER,288032.69214389124
PHL,439580.183107088
PLW,0
PNG,10900.81749116107
POL,953901.8012903307
PRI,20086.46385530518
PRK,24362.915913841007
PRT,164395.44887352723
PRY,141652.83678572864
PSE,274.0592523281021
PYF,7.305864065420467
QAT,1830.9069297188364
ROU,283194.5763297987
RUS,1434421.6809637242
RWA,16022.860446455968
SAU,158069.25297704624
SDN,1917045.1699735718
SEN,24015.020602328776
SGP,80816.61742462651
SGS,0
SHN,0
SLB,1359.6438138862743
SLE,3730.5465026213783
SLV,34674.109794879674
SMR,0
SOM,69047.91271885237
SPM,0.02321896169075946
SRB,29498.37724395103
SSD,205014.72874694728
STP,143.99650210510418
SUR,5183.719076556967
SVK,57719.01680204682
SVN,29387.518585056816
SWE,119797.29533702736
SWZ,4379.462803361335
SXM,0.01192920093845107
SYC,0
SYR,48911.49060348147
TCA,0
TCD,317196.38192040386
TGO,7133.9124073906005
THA,648123.777981417
TJK,14273.203197252424
TKM,19095.786230460315
TLS,2157.6079694748537
TON,173.49237002382554
TTO,27397.378860260247
TUN,45137.92238178793
TUR,393174.92862074275
TUV,0
TWN,179248.52213046583
TZA,381871.0006476581
UGA,144713.0178578178
UKR,360831.99943356594
UMI,0
URY,209825.26110151678
USA,8502816.713080762
UZB,89054.28341146668
VAT,6.837434249981247
VCT,186.5914840253253
VEN,375738.10550763796
VGB,21.96887523778927
VIR,3.966000147951188
VNM,574019.0094816765
VUT,1644.1364759121077
WLF,0
WSM,547.6887304374125
YEM,34724.21526462873
ZAF,529402.946945686
ZMB,26917.32872627334
ZWE,26410.013182316146
