"","key","n"
"1","ab_export_per_capita",135
"2","ab_import_per_capita",178
"3","english_spoken",190
"4","gdp_per_capita",190
"5","health_expend_perc",184
"6","human_consumption_ddd",68
"7","livestock_consumption_kg_per_capita",41
"8","livestock_consumption_kg_per_pcu",41
"9","livestock_pcu",176
"10","migrant_pop_per_capita",190
"11","n_amr_events",59
"12","n_amr_first_events",59
"13","population",190
"14","promed_mentions_per_capita",189
"15","pubcrawl_per_capita",180
"16","tourism_inbound_per_capita",111
