country,pubs_sum
Afghanistan,115.40785099116414
Albania,18.754880495293058
Algeria,515.2499396407059
Andorra,7.9355737568607365
Angola,165.2346412413663
Anguilla,0
Antigua,0
Argentina,1128.1720866229202
Armenia,23.232151404785995
Aruba,2.134060261764958
Australia,2518.046179438713
Austria,833.7157649807583
Azerbaijan,53.89420857870212
Bahamas,1.2460316931024744
Bahrain,48.35291043654618
Bangladesh,332.93918417753343
Barbados,0
Belarus,131.86555742885852
Belgium,618.7184917814135
Belice,2.682424440388033
Benin,74.12848717967978
Bhutan,3.668957093081266
Bolivia,153.01604117123537
Bosnia,21.17340202230015
Botswana,76.19816961660273
Brasil,3424.6785071900154
British Virgin Islands,0
Brunei,8.195549328331756
Bulgaria,208.250947411009
Burkina Faso,29.84222361022545
Burma,130.17658245219116
Burundi,17.44830895956671
Cambodia,34.56567580157408
Cameroon,237.3174847715652
Canada,3801.184302566363
Cape Verde,0
Cayman Islands,0
Cen African Rep,58.19871156457289
Chad,119.99030551271612
Chile,351.38551072424406
China,8523.31933190619
Chinese Taipei,79.4251112578209
Colombia,366.5945795032136
Commonwealth of Dominica,0
Comoros,0
Congo,37.108900911040216
Congo (Dem. Rep.),312.67210018927386
Cook Islands,0
Costa Rica,28.97104246921282
COTE D IVOIRE,135.02889288342445
Croatia,114.17579015615873
Cuba,117.10967179246278
Cyprus,51.392262110848655
Czech R,460.04283327048523
Dem. Peo. Rep. Korea,59.75021310185532
Denmark,463.09113278530435
Djibouti,3.5965259898548885
Dominican R,64.94011122363071
East Timor,6.892868324373624
Ecuador,104.30824552379761
Egypt,485.28385102729817
El Salvador,28.450247656539474
England,6847.705919756172
Eq Guinea,3.754344879183363
Eritrea,19.32347083217593
Estonia,41.427751829296994
Ethiopia,164.49541339488766
Faeroe Islands,0
Falkland Is,0
FEDERAL REPUBLIC OF YUGOSLAVIA,4.114130465107341
Federated State of Micronesia,0
Fiji,0
Finland,1296.3005162777167
France,4000.18954804409
French Guiana,10.724180398942302
French Polynesia,0
FYR of Macedonia,37.568090934973085
Gabon,35.120503209577365
Gambia,5.169455657028855
Gaza Strip,81.30788612303435
Georgia,34.994015105179976
Germany,6298.594249330615
Ghana,361.88951276084106
Greece,520.7966002153426
Greenland,3.764528325551117
Grenada,0
Guadeloupe,0
Guam,0
Guatemala,60.68053438327986
Guernsey,0
Guinea,30.417726084823148
Guinea Bissau,5.799527686552469
Guyana,23.412177767407588
Haiti,22.526917921907252
Honduras,23.880762098344956
Hungary,297.68018130759367
Iceland,58.40090471039094
India,3702.3151338123253
Indonesia,1169.0086076636442
Iran,846.4375545382343
Iraq,159.99949197172964
Ireland,203.23757202563087
Isle of Man,5.756801981593556
Israel,388.2713169537752
Italy,4817.921271821839
Jamaica,28.675674046914637
Japan,4154.523940728042
Jordan,100.00592045833606
Kazakhstan,523.2148076396786
Kenya,154.74374671250087
Kiribati,0
Korea,905.804974545597
Kuwait,147.25662345765295
Kyrgyz Republic,83.85923113650043
Lao PDR,29.063929618435118
Latvia,57.14452869124422
Lebanon,72.31904602513201
Lesotho,10.57554928552633
Liberia,15.064942212195723
Libya,305.70496633145893
Lithuania,62.19893644837119
Madagascar,91.96687989841598
Malawi,49.724398348316626
Malaysia,264.92841301806294
Maldive Islands,0
Mali,128.17781539513845
Malta,0
Marshall Islands,0
Martinique,0
Mauretania,101.84968378521086
Mauritania,0
Mauritius,0
Mayotte,0
Mexico,1308.8776833517209
Moldova,42.83794387107731
Mongolia,221.04064371322747
Montenegro,0
Montserrat,0
Moracco,308.9111646270715
Morocco (includes Western Sahara),45.579691852799215
Mozambique,134.48127359942046
Namibia,96.76954574422872
Nepal,54.16669713837751
Netherland Antilles,0
Netherlands,1543.031344496488
New Caledonia,0
New Zealand,159.82187358029498
Nicaragua,26.103489510602625
Niger,117.73973878112146
Nigeria,937.8477523573881
Niue,0
Northern Mariana Islands,0
Norway,401.8052175552291
Oman,71.50132555222865
Pakistan,651.2182722111525
Palau,0
Panama,42.08753692663485
Papau New Guinea,89.29565693358742
Paraguay,82.53539938811977
Peru,268.7288426981714
Philippine,295.76024195923765
Poland,1335.479042016894
Portugal,356.7962681425636
Puerto Rico,20.365183089620636
Qatar,57.03365498802941
Republic of Tajikistan,43.91394130377191
Reunion,0
Romania,358.36089599977424
Russia,5610.5264472217405
Rwanda,34.027017229109276
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Pierre and Miquelon,0
Saint Vincent,0
Sao Tome,0
Saudi Arabia,679.1082820399141
Senegal,44.90255607602147
Seychelles,0
Sierra Leone,11.479342313699858
Slovak Republic,139.63661427553924
Slovenia,25.100874880479026
Solomon Is,0
Somalia,91.50427773632971
South Africa,1506.0298025824231
Spain,1316.9549901382481
Sri Lanka,49.27838426517077
Sudan,382.90152665977
Surinam,16.498771404702037
Svalbard,0
Swaziland,2.985069799588662
Sweden,785.8891985927012
Switzerland,806.8839502523305
Syria,136.33020020955442
Tanzania,265.6569422079307
Thailand,315.5859026562236
Togo,90.8976304175296
Tonga,0
Trinidad,32.07747103657997
Tunesia,134.31735879453302
Turkey,816.6439875796633
Turkmenistan,88.68570821004198
Turks and Caicos Islands,0
U. ARAB EMIRATES,239.72941301179387
U.S.A,44207.089404555525
Uganda,303.8909687792378
Ukraine,538.7118863592239
United States Virgin Islands,0
Uruguay,86.69942687857554
Uzbekistan,281.5068719949955
Vanuatu,0
Venezuela,511.0596478121296
Viet Nam,186.01891524288507
Wallis and Futuna,0
Yemen,86.35354832925579
Zambia,84.48857988009186
Zimbabwe,68.97168308442555
